Precinct,1st Choice,2nd Choice,3rd Choice,Count
MINNEAPOLIS W-3 P-04,Ginger Jentzen,Steve Fletcher,Samantha Pree-Stinson,1
MINNEAPOLIS W-3 P-11,Tim Bildsoe,Steve Fletcher,UWI,1
MINNEAPOLIS W-3 P-05,Ginger Jentzen,Steve Fletcher,Tim Bildsoe,1
MINNEAPOLIS W-3 P-10,Ginger Jentzen,Samantha Pree-Stinson,Steve Fletcher,1
MINNEAPOLIS W-3 P-08,Tim Bildsoe,Steve Fletcher,Samantha Pree-Stinson,1
MINNEAPOLIS W-3 P-09,Tim Bildsoe,Steve Fletcher,undervote,1
MINNEAPOLIS W-3 P-09,Steve Fletcher,undervote,undervote,1
MINNEAPOLIS W-3 P-03,Steve Fletcher,Tim Bildsoe,Ginger Jentzen,1
MINNEAPOLIS W-3 P-06,Samantha Pree-Stinson,Steve Fletcher,Ginger Jentzen,1
MINNEAPOLIS W-3 P-08,Tim Bildsoe,Samantha Pree-Stinson,Steve Fletcher,1
MINNEAPOLIS W-3 P-09,Tim Bildsoe,Steve Fletcher,Samantha Pree-Stinson,1
MINNEAPOLIS W-3 P-03,Steve Fletcher,Samantha Pree-Stinson,Ginger Jentzen,1
MINNEAPOLIS W-3 P-03,Tim Bildsoe,Ginger Jentzen,Steve Fletcher,1
MINNEAPOLIS W-3 P-03,Ginger Jentzen,Steve Fletcher,Samantha Pree-Stinson,1
MINNEAPOLIS W-3 P-03,Samantha Pree-Stinson,Ginger Jentzen,Steve Fletcher,1
MINNEAPOLIS W-3 P-06,Tim Bildsoe,Ginger Jentzen,Samantha Pree-Stinson,1
MINNEAPOLIS W-3 P-11,Tim Bildsoe,Steve Fletcher,undervote,1
MINNEAPOLIS W-3 P-02,Ginger Jentzen,Samantha Pree-Stinson,Tim Bildsoe,1
MINNEAPOLIS W-3 P-12,Tim Bildsoe,Tim Bildsoe,Tim Bildsoe,1
MINNEAPOLIS W-3 P-04,Samantha Pree-Stinson,Tim Bildsoe,Steve Fletcher,1
MINNEAPOLIS W-3 P-03,Tim Bildsoe,UWI,UWI,1
MINNEAPOLIS W-3 P-02,Ginger Jentzen,Samantha Pree-Stinson,undervote,1
MINNEAPOLIS W-3 P-12,Tim Bildsoe,Steve Fletcher,Samantha Pree-Stinson,1
MINNEAPOLIS W-3 P-01,Ginger Jentzen,Steve Fletcher,Samantha Pree-Stinson,1
MINNEAPOLIS W-3 P-03,Steve Fletcher,Tim Bildsoe,Ginger Jentzen,1
MINNEAPOLIS W-3 P-03,Ginger Jentzen,Samantha Pree-Stinson,undervote,1
MINNEAPOLIS W-3 P-04,Ginger Jentzen,Steve Fletcher,Samantha Pree-Stinson,1
MINNEAPOLIS W-3 P-03,Samantha Pree-Stinson,Tim Bildsoe,Steve Fletcher,1
MINNEAPOLIS W-3 P-12,Tim Bildsoe,Steve Fletcher,Samantha Pree-Stinson,1
MINNEAPOLIS W-3 P-03,Steve Fletcher,Samantha Pree-Stinson,Tim Bildsoe,1
MINNEAPOLIS W-3 P-08,Tim Bildsoe,Steve Fletcher,Ginger Jentzen,1
MINNEAPOLIS W-3 P-09,Tim Bildsoe,Steve Fletcher,undervote,1
MINNEAPOLIS W-3 P-07,undervote,undervote,undervote,1
MINNEAPOLIS W-3 P-03,Samantha Pree-Stinson,undervote,undervote,1
MINNEAPOLIS W-3 P-02,Tim Bildsoe,Steve Fletcher,Samantha Pree-Stinson,1
MINNEAPOLIS W-3 P-09,Tim Bildsoe,Steve Fletcher,UWI,1
MINNEAPOLIS W-3 P-09,Tim Bildsoe,Steve Fletcher,undervote,1
MINNEAPOLIS W-3 P-07,Tim Bildsoe,Steve Fletcher,undervote,1
MINNEAPOLIS W-3 P-09,Samantha Pree-Stinson,undervote,undervote,1
MINNEAPOLIS W-3 P-09,Ginger Jentzen,Tim Bildsoe,Steve Fletcher,1
MINNEAPOLIS W-3 P-03,Tim Bildsoe,undervote,undervote,1
MINNEAPOLIS W-3 P-08,Tim Bildsoe,undervote,undervote,1
MINNEAPOLIS W-3 P-09,Steve Fletcher,undervote,undervote,1
MINNEAPOLIS W-3 P-03,Tim Bildsoe,undervote,undervote,1
MINNEAPOLIS W-3 P-09,Samantha Pree-Stinson,Steve Fletcher,Ginger Jentzen,1
MINNEAPOLIS W-3 P-02,undervote,undervote,undervote,1
MINNEAPOLIS W-3 P-09,Tim Bildsoe,Steve Fletcher,Samantha Pree-Stinson,1
MINNEAPOLIS W-3 P-09,Samantha Pree-Stinson,undervote,Steve Fletcher,1
MINNEAPOLIS W-3 P-09,Steve Fletcher,undervote,undervote,1
MINNEAPOLIS W-3 P-09,Tim Bildsoe,Steve Fletcher,Samantha Pree-Stinson,1
MINNEAPOLIS W-3 P-02,Ginger Jentzen,Samantha Pree-Stinson,Steve Fletcher,1
MINNEAPOLIS W-3 P-09,Samantha Pree-Stinson,Steve Fletcher,Tim Bildsoe,1
MINNEAPOLIS W-3 P-09,Tim Bildsoe,Steve Fletcher,undervote,1
MINNEAPOLIS W-3 P-08,Samantha Pree-Stinson,Steve Fletcher,undervote,1
MINNEAPOLIS W-3 P-09,Samantha Pree-Stinson,Steve Fletcher,Tim Bildsoe,1
MINNEAPOLIS W-3 P-09,Steve Fletcher,Samantha Pree-Stinson,Tim Bildsoe,1
MINNEAPOLIS W-3 P-07,Samantha Pree-Stinson,Tim Bildsoe,Steve Fletcher,1
MINNEAPOLIS W-3 P-09,Ginger Jentzen,Samantha Pree-Stinson,Steve Fletcher,1
MINNEAPOLIS W-3 P-09,Tim Bildsoe,Steve Fletcher,undervote,1
MINNEAPOLIS W-3 P-03,Ginger Jentzen,Samantha Pree-Stinson,Tim Bildsoe,1
MINNEAPOLIS W-3 P-03,Steve Fletcher,UWI,Tim Bildsoe,1
MINNEAPOLIS W-3 P-11,Steve Fletcher,Tim Bildsoe,Samantha Pree-Stinson,1
MINNEAPOLIS W-3 P-03,Tim Bildsoe,Steve Fletcher,Samantha Pree-Stinson,1
MINNEAPOLIS W-3 P-10,Tim Bildsoe,Steve Fletcher,UWI,1
MINNEAPOLIS W-3 P-03,Samantha Pree-Stinson,Steve Fletcher,Tim Bildsoe,1
MINNEAPOLIS W-3 P-07,Tim Bildsoe,Samantha Pree-Stinson,undervote,1
MINNEAPOLIS W-3 P-09,Ginger Jentzen,Samantha Pree-Stinson,Steve Fletcher,1
MINNEAPOLIS W-3 P-09,Tim Bildsoe,Steve Fletcher,undervote,1
MINNEAPOLIS W-3 P-11,Ginger Jentzen,Steve Fletcher,Tim Bildsoe,1
MINNEAPOLIS W-3 P-09,Samantha Pree-Stinson,Tim Bildsoe,undervote,1
MINNEAPOLIS W-3 P-11,Tim Bildsoe,Steve Fletcher,Samantha Pree-Stinson,1
MINNEAPOLIS W-3 P-09,Steve Fletcher,undervote,undervote,1
MINNEAPOLIS W-3 P-08,Steve Fletcher,Tim Bildsoe,Samantha Pree-Stinson,1
MINNEAPOLIS W-3 P-08,Steve Fletcher,Tim Bildsoe,undervote,1
MINNEAPOLIS W-3 P-03,Tim Bildsoe,undervote,undervote,1
MINNEAPOLIS W-3 P-09,Steve Fletcher,Tim Bildsoe,undervote,1
MINNEAPOLIS W-3 P-06,Ginger Jentzen,undervote,undervote,1
MINNEAPOLIS W-3 P-11,Steve Fletcher,Samantha Pree-Stinson,Ginger Jentzen,1
MINNEAPOLIS W-3 P-09,Tim Bildsoe,undervote,undervote,1
MINNEAPOLIS W-3 P-05,Ginger Jentzen,UWI,UWI,1
MINNEAPOLIS W-3 P-03,Ginger Jentzen,undervote,undervote,1
MINNEAPOLIS W-3 P-04,Ginger Jentzen,Samantha Pree-Stinson,undervote,1
