,Rank 1,Rank 2,Rank 3,Did Not Rank
BEN GOULD,1744.00,5722.00,10364.00,53380.00
BERNT RAINER WAHL,1673.00,3887.00,6373.00,57371.00
GUY ''MIKE'' LEE,954.00,2713.00,7152.00,56592.00
JESSE ARREGUÍN,29039.00,39412.00,42868.00,20876.00
KRISS WORTHINGTON,4746.00,19031.00,26697.00,37047.00
LAURIE CAPITELLI,18995.00,28184.00,33722.00,30022.00
NAOMI D. PETE,372.00,1058.00,2063.00,61681.00
ZACHARY RUNNINGWOLF,1621.00,4361.00,8052.00,55692.00
