,Rank 1,Rank 2,Rank 3,Did Not Rank
Arron Peskin,57.13,67.29,72.87,27.13
Brian Murphy 0'flynn,16.26,40.25,54.96,45.04
Eugene Chi-ching Wong,12.60,30.77,43.78,56.22
Sal Busalacchi,5.49,19.36,42.40,57.60
