,Rank 1,Rank 2,Rank 3,Rank 4,Rank 5,Rank 6,Rank 7,Rank 8,Rank 9,Rank 10,Did Not Rank
ALEXANDER PAIGE FRESQUEZ,0.75,2.41,5.66,8.45,11.72,15.76,21.16,29.13,32.85,35.24,64.76
BEV COURTNEY,3.48,12.15,17.34,21.08,24.69,28.50,32.37,35.61,38.36,41.01,58.99
EUGENIA (GINA) MONTOYA ORTEGA,8.10,15.45,21.90,26.42,29.83,35.77,38.19,40.65,43.68,46.36,53.64
GREGORY Z SMITH,10.12,23.15,29.90,34.25,37.61,40.39,43.08,46.07,52.20,54.04,45.96
ISABELLA SOLIS,4.69,12.07,20.32,26.56,34.68,38.12,40.60,42.84,44.43,45.75,54.25
JESUSITA DOLORES LUCERO,3.01,8.25,18.79,24.63,28.64,31.80,34.59,37.86,41.09,43.14,56.86
JORGE SANCHEZ,1.48,3.99,7.51,11.14,15.41,19.56,26.37,30.13,33.24,36.07,63.93
KEN MIYAGISHIMA,36.54,47.45,52.88,55.49,57.39,58.54,59.56,60.66,63.20,72.31,27.69
MIKE A TELLEZ,11.37,19.67,26.53,31.40,35.17,38.71,41.66,43.80,45.60,46.88,53.12
WILLIAM BILL MATTIACE,19.25,33.29,41.81,49.22,52.14,53.86,55.43,57.29,59.66,61.39,38.61
