,Rank 1,Rank 2,Rank 3,Did Not Rank,Final Rank + Did Not Rank
ALLEN SCHOENFELD,1928.00,4083.00,9381.00,7819.00,17200.00
LEE THOMAS,7671.00,10368.00,11945.00,5255.00,17200.00
VICTOR AGUILAR,4595.00,9694.00,10980.00,6220.00,17200.00
