,Rank 1,Rank 2,Rank 3,Did Not Rank,Final Rank + Did Not Rank
BEVERLY WILLIAMS,8.81,28.27,50.63,49.37,100.00
LARRY E. REID,51.28,62.17,71.95,28.05,100.00
SHERYL WALTON,27.82,51.66,60.74,39.26,100.00
writeIns,0.63,1.40,2.57,97.43,100.00
