,Rank 1,Rank 2,Rank 3,Rank 4,Rank 5,Rank 6,Rank 7,Rank 8,Rank 9,Did Not Rank,Final Rank + Did Not Rank
"Fantini, Alfred B.",2017.00,3567.00,4375.00,4963.00,5387.00,5655.00,5850.00,5991.00,6113.00,7596.00,13709.00
"Grassi, Joseph G.",1629.00,3312.00,4138.00,4728.00,5166.00,5473.00,5670.00,5835.00,5919.00,7790.00,13709.00
"Harding, Richard, Jr.",1562.00,2520.00,3925.00,4799.00,5395.00,5727.00,5918.00,6029.00,6104.00,7605.00,13709.00
"Lemily Wiggins, Gail",1024.00,1930.00,2758.00,3361.00,3822.00,4179.00,4417.00,4610.00,4727.00,8982.00,13709.00
"Malner, Stefan",133.00,389.00,796.00,1069.00,1330.00,1583.00,1857.00,2144.00,2428.00,11281.00,13709.00
"McGovern, Marc C.",2277.00,4035.00,5264.00,5979.00,6369.00,6651.00,6814.00,6940.00,7049.00,6660.00,13709.00
"Nolan, Patricia M.",1672.00,3439.00,4782.00,5554.00,6054.00,6317.00,6442.00,6538.00,6620.00,7089.00,13709.00
"Schuster, Luc",1680.00,2883.00,4019.00,4812.00,5386.00,5707.00,5855.00,5978.00,6081.00,7628.00,13709.00
"Tauber, Nancy",1246.00,2418.00,3415.00,4172.00,4644.00,4946.00,5131.00,5257.00,5371.00,8338.00,13709.00
writeIns,36.00,46.00,61.00,76.00,89.00,96.00,100.00,101.00,103.00,13606.00,13709.00
