,Rank 1,Rank 2,Rank 3,Rank 4,Rank 5,Did Not Rank,Final Rank + Did Not Rank
C01,1.21,7.37,16.88,26.39,34.64,65.36,100.00
C02,26.45,40.89,51.40,54.81,60.65,39.35,100.00
C03,38.61,63.38,71.29,73.72,75.38,24.62,100.00
C04,31.49,60.64,68.68,71.69,75.33,24.67,100.00
C05,0.58,5.19,15.53,26.05,32.09,67.91,100.00
C06,0.79,2.45,3.87,4.82,5.77,94.23,100.00
