,Rank 1,Rank 2,Rank 3,Did Not Rank,Final Rank + Did Not Rank
JENNIFER S. PAE,30.20,60.05,60.47,39.53,100.00
PATRICIA KERNIGHAN,58.74,73.79,74.21,25.79,100.00
writeIns,0.49,2.69,8.18,91.82,100.00
