,Rank 1,Rank 2,Rank 3,Did Not Rank,Final Rank + Did Not Rank
BRYAN AZEVEDO,12282.00,20768.00,20768.00,11022.00,31790.00
ED HERNANDEZ,14648.00,20816.00,20816.00,10974.00,31790.00
