,Rank 1,Rank 2,Rank 3,Rank 4,Rank 5,Rank 6,Rank 7,Rank 8,Rank 9,Rank 10,Rank 11,Rank 12,Rank 13,Rank 14,Rank 15,Rank 16,Rank 17,Rank 18,Rank 19,Rank 20,Did Not Rank
"Bellew, Carole K.",3.51,7.13,10.65,13.71,16.75,19.05,20.68,21.91,22.64,23.27,23.68,24.03,24.38,24.64,24.93,25.11,25.35,25.54,25.68,25.79,74.21
"Davis, Henrietta",8.81,17.45,24.69,30.16,34.17,37.22,39.35,40.74,41.58,41.91,42.17,42.37,42.54,42.69,42.89,42.99,43.13,43.24,43.38,43.47,56.53
"DeBergalis, Matt S.",5.75,7.65,9.24,10.82,12.57,14.10,15.46,16.49,17.33,17.89,18.33,18.75,19.08,19.42,19.71,19.98,20.16,20.36,20.60,20.75,79.25
"Decker, Marjorie C.",6.58,14.15,21.63,27.40,31.61,34.65,36.71,38.24,39.25,39.63,39.83,40.07,40.29,40.50,40.67,40.80,40.94,41.08,41.22,41.29,58.71
"Dixon, Vincent Lawrence",0.31,0.78,1.57,2.36,3.23,4.04,4.73,5.47,6.05,6.47,6.86,7.23,7.62,8.06,8.40,8.74,9.07,9.33,9.57,9.74,90.26
"Galluccio, Anthony D.",14.29,24.70,32.90,38.39,41.75,43.86,45.39,46.46,47.40,47.91,48.17,48.42,48.62,48.75,48.96,49.08,49.21,49.37,49.50,49.63,50.37
"Greenwood, Dan J.",0.19,0.57,1.04,1.51,1.99,2.52,3.05,3.70,4.25,4.77,5.18,5.63,6.02,6.38,6.75,7.18,7.52,7.86,8.04,8.15,91.85
"Hall, Robert L., Sr.",0.46,1.04,1.82,2.66,3.55,4.43,5.25,6.03,6.71,7.32,7.88,8.32,8.72,9.12,9.42,9.80,10.12,10.33,10.55,10.69,89.31
"Kelley, Craig A.",4.73,7.57,9.90,11.98,13.69,15.22,16.50,17.38,18.22,18.83,19.31,19.75,20.13,20.45,20.77,21.03,21.33,21.60,21.81,21.93,78.07
"King, Ethridge A., Jr.",1.72,3.55,5.85,7.92,10.43,12.68,14.44,15.80,16.71,17.46,18.00,18.43,18.80,19.15,19.42,19.68,19.88,20.14,20.34,20.46,79.54
"LaTremouille, Robert J.",0.60,1.23,1.97,2.66,3.42,4.07,4.59,5.27,5.91,6.41,6.92,7.29,7.64,8.03,8.36,8.71,9.08,9.44,9.81,10.01,89.99
"Maher, David P.",5.68,12.88,19.68,24.94,28.05,30.54,32.50,33.82,34.85,35.49,35.91,36.18,36.53,36.77,37.00,37.20,37.39,37.58,37.68,37.78,62.22
"Murphy, Brian",6.50,13.00,18.38,23.03,27.28,30.01,32.37,34.03,35.07,35.59,35.87,36.20,36.46,36.73,36.95,37.09,37.23,37.41,37.52,37.59,62.41
"Pitkin, John",4.82,8.55,11.17,13.47,15.50,17.37,18.59,19.64,20.56,21.11,21.55,22.00,22.33,22.63,23.02,23.36,23.59,23.74,23.96,24.12,75.88
"Reeves, Kenneth E.",7.28,12.82,17.66,22.03,25.83,28.66,30.64,31.92,32.90,33.37,33.73,33.98,34.20,34.38,34.55,34.76,34.94,35.13,35.32,35.53,64.47
"Simmons, Denise",5.64,13.01,19.20,24.36,28.68,31.81,33.93,35.37,36.49,36.98,37.27,37.49,37.63,37.81,37.94,38.11,38.32,38.50,38.58,38.69,61.31
"Smith, Aimee Louise",2.29,4.41,6.14,7.47,8.78,9.80,10.74,11.55,12.17,12.68,13.20,13.51,13.81,14.03,14.31,14.61,14.86,15.14,15.37,15.67,84.33
"Sullivan, Michael A.",7.90,17.22,26.21,31.02,34.20,36.45,38.04,39.37,40.30,40.87,41.24,41.54,41.71,41.88,42.01,42.17,42.34,42.47,42.62,42.74,57.26
"Taymorberry, Laurie",0.90,2.41,4.48,6.56,8.44,10.22,11.84,13.02,14.04,14.67,15.21,15.56,15.87,16.18,16.42,16.68,16.89,17.17,17.43,17.56,82.44
"Toomey, Timothy J., Jr.",7.70,13.25,18.64,24.68,27.70,29.93,31.71,33.15,34.20,34.77,35.25,35.50,35.72,35.87,36.03,36.17,36.33,36.49,36.67,36.82,63.18
writeIns,0.18,0.33,0.42,0.51,0.61,0.70,0.73,0.76,0.80,0.82,0.84,0.85,0.86,0.87,0.89,0.91,0.92,0.93,0.94,0.96,99.04
