,Rank 1,Rank 2,Rank 3,Did Not Rank
"Davis, Laurie J.",13.95,37.53,74.30,25.70
"Grant, Benjamin K.",34.57,66.19,84.19,15.81
"Zager, Samuel Lewis",46.97,72.52,86.66,13.34
