,Rank 1,Rank 2,Rank 3,Did Not Rank
BRAD BOURN,48.06,61.08,61.13,38.87
JOSH NEIMAN,25.78,46.77,46.87,53.13
writeIns,0.33,0.86,2.24,97.76
