,Rank 1,Rank 2,Rank 3,Did Not Rank
BARBARA PARKER,90055.00,112823.00,113018.00,43814.00
JANE BRUNNER,40488.00,78510.00,78973.00,77859.00
writeIns,1066.00,3477.00,9080.00,147752.00
