,Rank 1,Rank 2,Rank 3,Did Not Rank
Carol Becker,16727.00,20701.00,22115.00,23853.00
David Wheeler,6107.00,10412.00,12729.00,33239.00
DeWayne Townsend,2323.00,5624.00,7639.00,38329.00
James Elliot Swartwood,975.00,2025.00,3154.00,42814.00
Phil Willkie,2950.00,5581.00,8017.00,37951.00
R. Michael Martens,2778.00,5272.00,6901.00,39067.00
writeIns,226.00,315.00,408.00,45560.00
