,Rank 1,Rank 2,Rank 3,Did Not Rank
ANTHONY B. ''TONY'' SANTOS,7982.00,11385.00,13929.00,9565.00
JOHN R. PALAU,390.00,1764.00,3818.00,19676.00
JOYCE RUTLEDGE STAROSCIAK,5206.00,10945.00,13707.00,9787.00
LOU FILIPOVICH,9.00,16.00,18.00,23476.00
SARA M. MESTAS,925.00,3320.00,6629.00,16865.00
STEPHEN H. CASSIDY,7908.00,11753.00,14577.00,8917.00
writeIns,64.00,208.00,349.00,23145.00
