,Rank 1,Rank 2,Rank 3,Did Not Rank
ANNIE YOUNG,9294.00,17862.00,24398.00,55703.00
CASPER HILL,1280.00,2579.00,4048.00,76053.00
HASHIM YONIS,3762.00,5153.00,6445.00,73656.00
ISHMAEL ISRAEL,3305.00,5842.00,8266.00,71835.00
JASON STONE,5357.00,10324.00,16020.00,64081.00
JOHN ERWIN,14678.00,22720.00,26261.00,53840.00
MARY LYNN MCPHERSON,3373.00,6609.00,10210.00,69891.00
MEG FORNEY,7856.00,13298.00,18109.00,61992.00
STEVE BARLAND,3705.00,5714.00,7808.00,72293.00
TOM NORDYKE,6511.00,13145.00,16598.00,63503.00
writeIns,342.00,460.00,605.00,79496.00
