,Rank 1,Rank 2,Rank 3,Did Not Rank
Jan Shabro,39.59,65.09,76.13,23.87
Julie Anderson,47.90,73.52,79.19,20.81
Will Baker,8.11,22.07,53.76,46.24
writeIns,0.36,0.93,2.57,97.43
