,Rank 1,Rank 2,Rank 3,Did Not Rank
ANTOINETTE M REYES,19.89,47.78,67.79,32.21
JOHANA BENCOMO,45.17,63.47,74.54,25.46
ROBERT J PALACIOS,27.12,46.00,67.44,32.56
