,Rank 1,Rank 2,Rank 3,Did Not Rank
JOHN ROBINSON,5.43,26.26,39.71,60.29
ROSS MIRKARIMI,30.26,40.41,49.83,50.17
VICKI HENNESSY,55.82,69.57,72.89,27.11
