,Rank 1,Rank 2,Rank 3,Did Not Rank,Final Rank + Did Not Rank
ANN-MARIE HOGAN,31428.00,31603.00,31603.00,14383.00,45986.00
writeIns,717.00,1447.00,1447.00,44539.00,45986.00
