,Rank 1,Rank 2,Rank 3,Did Not Rank,Final Rank + Did Not Rank
ASHLEY H RHODES,260.00,428.00,634.00,19916.00,20550.00
CHRIS JACKSON,1088.00,2207.00,3789.00,16761.00,20550.00
DEWITT M. LACY,1274.00,2878.00,3770.00,16780.00,20550.00
DIANE WESLEY SMITH,399.00,800.00,1173.00,19377.00,20550.00
ED DONALDSON,202.00,415.00,741.00,19809.00,20550.00
ELLSWORTH ''ELL'' JENNISON,68.00,167.00,281.00,20269.00,20550.00
ERIC SMITH,448.00,994.00,1831.00,18719.00,20550.00
GEOFFREA MORRIS,333.00,581.00,874.00,19676.00,20550.00
JACKIE NORMAN,186.00,382.00,666.00,19884.00,20550.00
JAMES M. CALLOWAY,417.00,824.00,1201.00,19349.00,20550.00
KRISTINE ENEA,544.00,1069.00,1466.00,19084.00,20550.00
LYNETTE SWEET,2150.00,3321.00,4308.00,16242.00,20550.00
M.J. MARIE FRANKLIN,81.00,203.00,381.00,20169.00,20550.00
MALIA COHEN,2097.00,3634.00,4584.00,15966.00,20550.00
MARLENE TRAN,2049.00,3175.00,3563.00,16987.00,20550.00
NYESE JOSHUA,135.00,303.00,459.00,20091.00,20550.00
"RODNEY HAMPTON, JR.",237.00,501.00,840.00,19710.00,20550.00
STEPHEN WEBER,311.00,564.00,852.00,19698.00,20550.00
STEVE MOSS,1969.00,3118.00,4033.00,16517.00,20550.00
TERESA DUQUE,1441.00,2566.00,2888.00,17662.00,20550.00
TONY KELLY,2102.00,3288.00,4132.00,16418.00,20550.00
writeIns,17.00,37.00,52.00,20498.00,20550.00
