,Rank 1,Rank 2,Rank 3,Did Not Rank,Final Rank + Did Not Rank
ANNIE YOUNG,11.60,22.30,30.46,69.54,100.00
CASPER HILL,1.60,3.22,5.05,94.95,100.00
HASHIM YONIS,4.70,6.43,8.05,91.95,100.00
ISHMAEL ISRAEL,4.13,7.29,10.32,89.68,100.00
JASON STONE,6.69,12.89,20.00,80.00,100.00
JOHN ERWIN,18.32,28.36,32.78,67.22,100.00
MARY LYNN MCPHERSON,4.21,8.25,12.75,87.25,100.00
MEG FORNEY,9.81,16.60,22.61,77.39,100.00
STEVE BARLAND,4.63,7.13,9.75,90.25,100.00
TOM NORDYKE,8.13,16.41,20.72,79.28,100.00
writeIns,0.43,0.57,0.76,99.24,100.00
