,Rank 1,Rank 2,Rank 3,Did Not Rank,Final Rank + Did Not Rank
Andrew Johnson,82.91,86.88,89.60,10.40,100.00
Harrison Bullard,2.95,18.64,30.77,69.23,100.00
Will Jaeger,8.95,25.22,35.42,64.58,100.00
writeIns,0.33,1.25,1.96,98.04,100.00
