,Rank 1,Rank 2,Rank 3,Rank 4,Rank 5,Rank 6,Rank 7,Rank 8,Rank 9,Rank 10,Rank 11,Rank 12,Did Not Rank,Final Rank + Did Not Rank
"Bowman, Manikka L.",2768.00,5080.00,6816.00,8196.00,9088.00,9546.00,9751.00,9883.00,9993.00,10072.00,10139.00,10179.00,12273.00,22452.00
"Cronin, Fran A.",1572.00,3004.00,4147.00,5025.00,5764.00,6323.00,6629.00,6838.00,6991.00,7123.00,7225.00,7287.00,15165.00,22452.00
"Crutchfield, Jake W.",1039.00,1902.00,2818.00,3508.00,4123.00,4633.00,4955.00,5199.00,5352.00,5489.00,5612.00,5716.00,16736.00,22452.00
"Dexter, Emily R.",2378.00,4950.00,7219.00,8802.00,9787.00,10282.00,10481.00,10593.00,10677.00,10743.00,10772.00,10816.00,11636.00,22452.00
"Fantini, Alfred B.",2728.00,3998.00,5072.00,6005.00,6815.00,7277.00,7542.00,7692.00,7832.00,7938.00,8071.00,8176.00,14276.00,22452.00
"Kadete, Elechi M.",846.00,1719.00,2595.00,3288.00,3903.00,4414.00,4770.00,4999.00,5147.00,5293.00,5429.00,5545.00,16907.00,22452.00
"Kelly, Kathleen M.",1882.00,3802.00,5652.00,6990.00,7941.00,8430.00,8660.00,8822.00,8914.00,9004.00,9073.00,9135.00,13317.00,22452.00
"Kimbrough, Laurance V.",1856.00,3111.00,4041.00,4698.00,5232.00,5744.00,6007.00,6198.00,6387.00,6563.00,6692.00,6774.00,15678.00,22452.00
"MacArthur, William",795.00,1464.00,2129.00,2770.00,3290.00,3772.00,4098.00,4344.00,4558.00,4726.00,4906.00,5021.00,17431.00,22452.00
"Mitros, Piotr Flawiusz",511.00,1053.00,1564.00,2089.00,2533.00,2957.00,3271.00,3499.00,3702.00,3892.00,4027.00,4171.00,18281.00,22452.00
"Nolan, Patricia M.",3458.00,6315.00,8578.00,9986.00,10943.00,11426.00,11644.00,11752.00,11830.00,11889.00,11935.00,11979.00,10473.00,22452.00
"Weinstein, David J.",797.00,1565.00,2369.00,3020.00,3722.00,4318.00,4704.00,4939.00,5122.00,5261.00,5392.00,5523.00,16929.00,22452.00
writeIns,78.00,99.00,113.00,125.00,141.00,152.00,166.00,173.00,175.00,176.00,182.00,182.00,22270.00,22452.00
