,Rank 1,Rank 2,Rank 3,Did Not Rank
BRUCE QUAN,15.39,35.48,50.99,49.01
FRANCIS ''MATT'' HUMMEL,6.53,13.02,20.27,79.73
NANCY SIDEBOTHAM,3.26,9.56,18.23,81.77
PEGGY MOORE,17.97,37.73,52.22,47.78
REBECCA KAPLAN,46.93,62.36,70.51,29.49
