,Rank 1,Rank 2,Rank 3,Did Not Rank,Final Rank + Did Not Rank
COURTNEY RUBY,53.44,69.69,70.01,29.99,100.00
MICHAEL KILIAN,25.42,55.38,55.74,44.26,100.00
writeIns,0.98,2.56,9.02,90.98,100.00
