,Rank 1,Rank 2,Rank 3,Did Not Rank
BOB REUER,749.00,1224.00,1741.00,9001.00
DAVID REGAN,199.00,572.00,860.00,9882.00
LINEA PALMISANO,4452.00,7114.00,8143.00,2599.00
MATT PERRY,4063.00,6976.00,8343.00,2399.00
MISSY DURANT,986.00,3161.00,6358.00,4384.00
writeIns,10.00,39.00,105.00,10637.00
