,Rank 1,Rank 2,Rank 3,Did Not Rank,Final Rank + Did Not Rank
Al Flowers,3.90,14.61,21.19,78.81,100.00
Bill McGaughey,0.50,1.40,2.43,97.57,100.00
Bob Carney Jr.,0.50,1.59,2.58,97.42,100.00
Christopher Clark,2.91,5.79,7.60,92.40,100.00
Dick Franson,3.43,13.45,20.90,79.10,100.00
James R. Everett,0.78,1.98,2.92,97.08,100.00
Joey Lombard,0.97,3.48,6.79,93.21,100.00
Papa John Kolstad,10.77,18.05,21.03,78.97,100.00
Phil Willkie,0.30,0.66,1.11,98.89,100.00
R.T. Rybak,72.30,77.57,80.43,19.57,100.00
Tom Fiske,1.41,4.37,6.39,93.61,100.00
writeIns,0.46,0.80,1.16,98.84,100.00
