,Rank 1,Rank 2,Rank 3,Rank 4,Rank 5,Rank 6,Rank 7,Did Not Rank
ANTHONY JENKINS,93.00,236.00,388.00,533.00,653.00,763.00,841.00,271.00
CRISTY WELSH,346.00,593.00,778.00,872.00,912.00,949.00,979.00,133.00
DAVID LAURET,154.00,342.00,488.00,635.00,752.00,848.00,881.00,231.00
G. TYCE FLAKE,273.00,509.00,707.00,819.00,868.00,923.00,963.00,149.00
HECTOR RAFAEL HERNANDEZ,88.00,141.00,225.00,325.00,498.00,707.00,792.00,320.00
KEITH KUDER,99.00,190.00,267.00,321.00,374.00,438.00,733.00,379.00
TAY GUDMUNDSON,35.00,99.00,198.00,372.00,562.00,698.00,774.00,338.00
