,Rank 1,Rank 2,Rank 3,Did Not Rank
ALEX MILLER-COLE,7.48,15.45,23.88,76.12
DERRICK MUHAMMAD,11.78,20.68,29.18,70.82
"LARRY LIONEL YOUNG, JR.",7.32,13.45,20.96,79.04
LYNETTE GIBSON-MCELHANEY,19.46,34.52,47.21,52.79
NYEISHA DEWITT,14.60,30.40,40.18,59.82
SEAN SULLIVAN,21.43,32.17,40.50,59.50
writeIns,0.49,0.80,1.04,98.96
