,Rank 1,Rank 2,Rank 3,Did Not Rank,Final Rank + Did Not Rank
Calvin Goings,22.08,43.44,55.26,44.74,100.00
Mike Lonergan,14.49,30.45,47.89,52.11,100.00
Pat McCarthy,25.33,44.82,55.58,44.42,100.00
Shawn Bunney,33.59,42.78,51.20,48.80,100.00
writeIns,0.15,0.47,1.00,99.00,100.00
