,Rank 1,Rank 2,Rank 3,Rank 4,Rank 5,Rank 6,Rank 7,Rank 8,Did Not Rank,Final Rank + Did Not Rank
"Cote, Adam Roland",35478.00,54858.00,70049.00,78918.00,84116.00,87932.00,92691.00,92855.00,39395.00,132250.00
"Dion, Donna J.",1596.00,5390.00,11085.00,19274.00,29464.00,41352.00,50993.00,51172.00,81078.00,132250.00
"Dion, Mark N.",5200.00,14610.00,26906.00,38703.00,49852.00,58704.00,64000.00,64105.00,68145.00,132250.00
"Eves, Mark W.",17887.00,43614.00,63138.00,73820.00,79608.00,83688.00,87039.00,87108.00,45142.00,132250.00
"Mills, Janet T.",41735.00,64567.00,80052.00,88323.00,92748.00,95373.00,99592.00,99942.00,32308.00,132250.00
"Russell, Diane Marie",2728.00,7976.00,16635.00,25467.00,35322.00,45917.00,55019.00,55182.00,77068.00,132250.00
"Sweet, Elizabeth A.",20767.00,44249.00,63210.00,74271.00,79945.00,83945.00,88198.00,88291.00,43959.00,132250.00
writeIns,748.00,909.00,1045.00,1214.00,1446.00,1721.00,2257.00,3407.00,128843.00,132250.00
