,Rank 1,Rank 2,Rank 3,Did Not Rank,Final Rank + Did Not Rank
DEBORAH COX,58.31,71.34,78.59,21.41,100.00
EVA ARCE,14.23,40.04,60.57,39.43,100.00
KENNETH PON,16.96,40.93,62.21,37.79,100.00
