,Rank 1,Rank 2,Rank 3,Did Not Rank
Barbara Gelman,15.95,27.10,34.82,65.18
Bernardo Tuma,5.82,11.55,16.92,83.08
Beverly Davidson,8.74,16.24,25.82,74.18
Dale Washam,21.00,29.42,35.85,64.15
Jan Shabro,15.99,28.00,38.76,61.24
Terry Lee,16.08,28.40,36.44,63.56
writeIns,0.34,0.49,0.65,99.35
