,Rank 1,Rank 2,Rank 3,Did Not Rank,Final Rank + Did Not Rank
BRYAN AZEVEDO,38.63,65.33,65.33,34.67,100.00
ED HERNANDEZ,46.08,65.48,65.48,34.52,100.00
