,Rank 1,Rank 2,Rank 3,Did Not Rank
Andrew Johnson,8875.00,9300.00,9591.00,1113.00
Harrison Bullard,316.00,1995.00,3294.00,7410.00
Will Jaeger,958.00,2700.00,3791.00,6913.00
writeIns,35.00,134.00,210.00,10494.00
