,Rank 1,Rank 2,Rank 3,Did Not Rank
BILL FAZIO,19252.00,45597.00,76250.00,120992.00
DAVID ONEK,43398.00,64916.00,84282.00,112960.00
GEORGE GASCÓN,76236.00,99551.00,113592.00,83650.00
SHARMIN BOCK,38005.00,93120.00,112938.00,84304.00
VU VUONG TRINH,6596.00,15034.00,26474.00,170768.00
