,Rank 1,Rank 2,Rank 3,Did Not Rank,Final Rank + Did Not Rank
BRUCE QUAN,27342.00,63028.00,90566.00,87065.00,177631.00
FRANCIS ''MATT'' HUMMEL,11593.00,23119.00,36002.00,141629.00,177631.00
NANCY SIDEBOTHAM,5799.00,16985.00,32381.00,145250.00,177631.00
PEGGY MOORE,31925.00,67020.00,92765.00,84866.00,177631.00
REBECCA KAPLAN,83365.00,110771.00,125248.00,52383.00,177631.00
