,Rank 1,Rank 2,Rank 3,Rank 4,Rank 5,Did Not Rank,Final Rank + Did Not Rank
BRIAN V. HULET,22.25,50.69,68.52,80.46,87.12,12.88,100.00
CARY KENNETH STOCKWELL,7.60,18.99,37.99,61.72,79.41,20.59,100.00
DOUG WELTON,37.52,61.83,78.69,85.20,89.15,10.85,100.00
LINDA CARTER,24.38,43.56,62.41,73.37,84.33,15.67,100.00
SCOTT PINKHAM,5.03,13.10,26.05,45.80,76.16,23.84,100.00
