,Rank 1,Rank 2,Rank 3,Rank 4,Rank 5,Rank 6,Rank 7,Rank 8,Rank 9,Did Not Rank
"Fantini, Alfred B.",14.71,26.02,31.91,36.20,39.30,41.25,42.67,43.70,44.59,55.41
"Grassi, Joseph G.",11.88,24.16,30.18,34.49,37.68,39.92,41.36,42.56,43.18,56.82
"Harding, Richard, Jr.",11.39,18.38,28.63,35.01,39.35,41.78,43.17,43.98,44.53,55.47
"Lemily Wiggins, Gail",7.47,14.08,20.12,24.52,27.88,30.48,32.22,33.63,34.48,65.52
"Malner, Stefan",0.97,2.84,5.81,7.80,9.70,11.55,13.55,15.64,17.71,82.29
"McGovern, Marc C.",16.61,29.43,38.40,43.61,46.46,48.52,49.70,50.62,51.42,48.58
"Nolan, Patricia M.",12.20,25.09,34.88,40.51,44.16,46.08,46.99,47.69,48.29,51.71
"Schuster, Luc",12.25,21.03,29.32,35.10,39.29,41.63,42.71,43.61,44.36,55.64
"Tauber, Nancy",9.09,17.64,24.91,30.43,33.88,36.08,37.43,38.35,39.18,60.82
writeIns,0.26,0.34,0.44,0.55,0.65,0.70,0.73,0.74,0.75,99.25
