,Rank 1,Rank 2,Rank 3,Did Not Rank
LARRY E. REID,8464.00,10870.00,13004.00,5065.00
MARCIE HODGE,3947.00,8736.00,10646.00,7423.00
NEHANDA IMARA,3324.00,6388.00,9936.00,8133.00
