,Rank 1,Rank 2,Rank 3,Did Not Rank,Final Rank + Did Not Rank
ALFRED TWU,695.00,1938.00,3045.00,4074.00,7119.00
LORI DROSTE,3677.00,4913.00,5327.00,1792.00,7119.00
MARY KAY LACEY,1990.00,4131.00,4713.00,2406.00,7119.00
RUSS TILLEMAN,183.00,728.00,2101.00,5018.00,7119.00
