,Rank 1,Rank 2,Rank 3,Did Not Rank
Brent Perry,2.70,8.24,15.28,84.72
Charley Underwood,13.76,38.92,44.48,55.52
Rick L. Nyhlen,18.26,26.48,35.16,64.84
Sandy Colvin Roy,62.99,72.52,76.13,23.87
writeIns,0.21,0.68,1.20,98.80
