,Rank 1,Rank 2,Rank 3,Did Not Rank,Final Rank + Did Not Rank
LEE THOMAS,11358.00,18928.00,18928.00,8839.00,27767.00
"VICTOR AGUILAR, JR.",11902.00,18324.00,18324.00,9443.00,27767.00
