,Rank 1,Rank 2,Rank 3,Did Not Rank
JOHN ROBINSON,11036.00,53325.00,80631.00,122438.00
ROSS MIRKARIMI,61446.00,82055.00,101192.00,101877.00
VICKI HENNESSY,113349.00,141275.00,148023.00,55046.00
