,Rank 1,Rank 2,Rank 3,Rank 4,Rank 5,Rank 6,Did Not Rank
ELLEN LEE ZHOU,25003.00,46843.00,58750.00,64857.00,70351.00,76300.00,129785.00
JOEL VENTRESCA,13277.00,32160.00,45608.00,56195.00,64228.00,67984.00,138101.00
LONDON N. BREED,126207.00,136761.00,142151.00,144421.00,146967.00,153706.00,52379.00
MARC ROTH,7.00,12.00,14.00,15.00,15.00,18.00,206067.00
PAUL YBARRA ROBERTSON,7647.00,22402.00,37149.00,48335.00,57311.00,61686.00,144399.00
"ROBERT L. JORDAN, JR.",2458.00,9521.00,17433.00,26516.00,38487.00,52963.00,153122.00
WILMA PANG,4961.00,19623.00,34220.00,46292.00,57187.00,61415.00,144670.00
writeIns,1.00,1.00,3.00,3.00,6.00,12.00,206073.00
