,Rank 1,Rank 2,Rank 3,Rank 4,Did Not Rank
CHESA BOUDIN,33.38,43.48,51.71,60.22,39.78
LEIF DAUTCH,13.11,30.73,43.57,49.11,50.89
NANCY TUNG,18.12,32.17,43.03,50.20,49.80
SUZY LOFTUS,29.12,43.60,53.03,60.77,39.23
writeIns,0.00,0.00,0.00,0.01,99.99
