,Rank 1,Rank 2,Rank 3,Rank 4,Did Not Rank
DEAN PRESTON,11239.00,15343.00,16204.00,16921.00,7841.00
NOMVULA O'MEARA,278.00,2022.00,4626.00,7121.00,17641.00
RYAN LAM,950.00,3643.00,6882.00,7959.00,16803.00
VALLIE BROWN,11206.00,14950.00,15569.00,16789.00,7973.00
writeIns,0.00,0.00,0.00,3.00,24759.00
