,Rank 1,Rank 2,Rank 3,Did Not Rank,Final Rank + Did Not Rank
Jan Shabro,63338.00,104139.00,121791.00,38196.00,159987.00
Julie Anderson,76634.00,117623.00,126698.00,33289.00,159987.00
Will Baker,12978.00,35315.00,86006.00,73981.00,159987.00
writeIns,578.00,1494.00,4115.00,155872.00,159987.00
