,Rank 1,Rank 2,Rank 3,Did Not Rank
"Davis, Laurie J.",368.00,990.00,1960.00,678.00
"Grant, Benjamin K.",912.00,1746.00,2221.00,417.00
"Zager, Samuel Lewis",1239.00,1913.00,2286.00,352.00
