,Rank 1,Rank 2,Rank 3,Rank 4,Rank 5,Did Not Rank,Final Rank + Did Not Rank
BRIAN V. HULET,615.00,1401.00,1894.00,2224.00,2408.00,356.00,2764.00
CARY KENNETH STOCKWELL,210.00,525.00,1050.00,1706.00,2195.00,569.00,2764.00
DOUG WELTON,1037.00,1709.00,2175.00,2355.00,2464.00,300.00,2764.00
LINDA CARTER,674.00,1204.00,1725.00,2028.00,2331.00,433.00,2764.00
SCOTT PINKHAM,139.00,362.00,720.00,1266.00,2105.00,659.00,2764.00
