,Rank 1,Rank 2,Rank 3,Rank 4,Did Not Rank
DEAN PRESTON,45.39,61.96,65.44,68.33,31.67
NOMVULA O'MEARA,1.12,8.17,18.68,28.76,71.24
RYAN LAM,3.84,14.71,27.79,32.14,67.86
VALLIE BROWN,45.25,60.37,62.87,67.80,32.20
writeIns,0.00,0.00,0.00,0.01,99.99
