,Rank 1,Rank 2,Rank 3,Did Not Rank
Calvin Louie,43341.00,78941.00,98482.00,126888.00
Isaac Wang,16175.00,47027.00,72052.00,153318.00
Jose Cisneros,108155.00,124952.00,139170.00,86200.00
Manuel B. Valle,8820.00,30397.00,53444.00,171926.00
