,Rank 1,Rank 2,Rank 3,Did Not Rank
BEN GOULD,2.74,8.98,16.26,83.74
BERNT RAINER WAHL,2.62,6.10,10.00,90.00
GUY ''MIKE'' LEE,1.50,4.26,11.22,88.78
JESSE ARREGUÍN,45.56,61.83,67.25,32.75
KRISS WORTHINGTON,7.45,29.86,41.88,58.12
LAURIE CAPITELLI,29.80,44.21,52.90,47.10
NAOMI D. PETE,0.58,1.66,3.24,96.76
ZACHARY RUNNINGWOLF,2.54,6.84,12.63,87.37
