,Rank 1,Rank 2,Rank 3,Did Not Rank,Final Rank + Did Not Rank
Barbara A. Johnson,1546.00,1957.00,2202.00,1120.00,3322.00
Grant Cermak,386.00,684.00,1024.00,2298.00,3322.00
Marcus Harcus,442.00,971.00,1343.00,1979.00,3322.00
Troy Parker,921.00,1558.00,1840.00,1482.00,3322.00
writeIns,4.00,12.00,23.00,3299.00,3322.00
