,Rank 1,Rank 2,Rank 3,Did Not Rank,Final Rank + Did Not Rank
Calvin Goings,69052.00,135875.00,172848.00,139923.00,312771.00
Mike Lonergan,45330.00,95232.00,149787.00,162984.00,312771.00
Pat McCarthy,79235.00,140171.00,173847.00,138924.00,312771.00
Shawn Bunney,105057.00,133810.00,160133.00,152638.00,312771.00
writeIns,458.00,1472.00,3128.00,309643.00,312771.00
