,Rank 1,Rank 2,Rank 3,Did Not Rank
"Bennett, Adrienne",28.92,48.89,63.85,36.15
"Brakey, Eric L.",20.47,38.68,59.81,40.19
"Crafts, Dale John",40.45,60.14,72.40,27.60
