,Rank 1,Rank 2,Rank 3,Did Not Rank,Final Rank + Did Not Rank
DAN KALB,67.59,74.86,74.86,25.14,100.00
KEVIN M. CORBETT,15.93,38.33,38.33,61.67,100.00
