,Rank 1,Rank 2,Rank 3,Did Not Rank
CAT BROOKS,24.74,42.41,52.52,47.48
CEDRIC A. TROUPE,0.68,2.27,4.56,95.44
JESSE A.J. SMITH,0.45,1.58,3.49,96.51
KEN HOUSTON,1.60,3.41,5.59,94.41
LIBBY SCHAAF,51.28,60.06,67.81,32.19
MARCHON TATMON,1.28,3.84,9.93,90.07
NANCY SIDEBOTHAM,1.07,3.28,6.24,93.76
PAMELA PRICE,12.62,41.96,54.58,45.42
PETER YUAN LIU,0.71,1.83,3.05,96.95
SAIED KARAMOOZ,1.82,5.35,12.65,87.35
