,Rank 1,Rank 2,Rank 3,Rank 4,Rank 5,Rank 6,Rank 7,Rank 8,Rank 9,Rank 10,Rank 11,Rank 12,Rank 13,Rank 14,Rank 15,Rank 16,Did Not Rank
"Davis, Henrietta",11.60,22.43,31.86,38.63,43.42,46.43,48.44,49.81,50.44,50.83,51.23,51.49,51.67,51.94,52.15,52.30,47.70
"Decker, Marjorie C.",7.79,17.68,26.71,33.27,38.03,41.53,43.79,45.21,46.10,46.59,46.99,47.29,47.55,47.79,48.04,48.19,51.81
"Galluccio, Anthony D.",3.80,9.45,14.47,17.94,20.57,22.48,23.82,25.01,25.75,26.23,26.46,26.70,27.03,27.47,27.74,28.13,71.87
"Janik, Jonathan S.",1.90,3.60,5.45,7.39,9.65,11.44,13.28,14.77,15.94,16.76,17.49,18.13,18.68,19.23,19.56,19.85,80.15
"Kelley, Craig A.",8.15,13.37,18.20,22.61,26.30,29.62,32.17,34.09,35.51,36.28,36.75,37.16,37.54,37.88,38.18,38.31,61.69
"Maher, David P.",9.56,16.07,21.94,26.49,30.28,33.58,36.01,37.82,39.25,40.03,40.57,40.97,41.40,41.66,41.90,42.06,57.94
"Moore, M. Kevin",1.83,4.42,7.12,9.34,11.30,13.06,14.56,15.86,16.92,17.75,18.57,19.23,19.74,20.12,20.41,20.60,79.40
"Moree, Gregg J.",0.81,1.66,2.58,3.65,4.68,5.63,6.60,7.35,7.97,8.66,9.35,10.08,10.72,11.30,11.93,12.38,87.62
"Murphy, Brian",8.45,16.11,22.87,28.68,33.26,36.74,39.44,41.52,42.80,43.34,43.82,44.23,44.62,44.94,45.10,45.22,54.78
"Podgers, Kathy",0.67,1.49,2.65,3.94,4.96,6.19,7.31,8.26,9.15,9.92,10.59,11.25,12.00,12.53,13.11,13.40,86.60
"Reeves, Kenneth E.",8.87,14.63,19.82,24.14,27.34,29.66,31.30,32.61,33.85,34.49,34.87,35.17,35.50,35.82,36.15,36.59,63.41
"Seidel, Sam",7.56,14.43,20.04,24.80,28.61,31.48,33.30,34.70,35.80,36.38,36.80,37.34,37.69,38.15,38.59,38.90,61.10
"Simmons, E. Denise",7.26,16.70,25.51,32.71,38.05,41.57,44.14,45.87,46.98,47.53,47.77,48.02,48.21,48.41,48.67,48.82,51.18
"Sullivan, Edward J.",6.06,12.03,16.72,19.45,21.61,23.01,24.28,25.47,26.54,27.14,27.77,28.37,28.86,29.33,29.71,29.95,70.05
"Toomey, Timothy J., Jr.",9.76,16.70,22.58,26.68,29.84,32.48,34.50,36.21,37.39,38.21,38.82,39.16,39.41,39.68,39.94,40.14,59.86
"Ward, Larry W.",5.09,9.77,14.45,18.18,21.47,24.17,26.40,27.97,29.13,29.88,30.41,30.85,31.32,31.67,31.99,32.27,67.73
writeIns,0.19,0.26,0.35,0.41,0.48,0.54,0.55,0.63,0.65,0.67,0.69,0.71,0.71,0.73,0.75,0.78,99.22
