,Rank 1,Rank 2,Rank 3,Did Not Rank
DESLEY BROOKS,22.66,30.35,35.68,64.32
LOREN TAYLOR,36.62,50.66,59.28,40.72
MARLO RODRIGUEZ,8.14,18.58,33.22,66.78
MYA WHITAKER,12.79,31.23,49.03,50.97
NATASHA MIDDLETON,11.09,31.28,44.07,55.93
