,Rank 1,Rank 2,Rank 3,Did Not Rank,Final Rank + Did Not Rank
ANTHONY B. ''TONY'' SANTOS,33.97,48.46,59.29,40.71,100.00
JOHN R. PALAU,1.66,7.51,16.25,83.75,100.00
JOYCE RUTLEDGE STAROSCIAK,22.16,46.59,58.34,41.66,100.00
LOU FILIPOVICH,0.04,0.07,0.08,99.92,100.00
SARA M. MESTAS,3.94,14.13,28.22,71.78,100.00
STEPHEN H. CASSIDY,33.66,50.03,62.05,37.95,100.00
writeIns,0.27,0.89,1.49,98.51,100.00
