,Rank 1,Rank 2,Rank 3,Did Not Rank
Bob Sullentrop,1659.00,3406.00,5143.00,100785.00
Charlie Casserly,3756.00,6394.00,9337.00,96591.00
Devin Hogan,6246.00,13825.00,22199.00,83729.00
Jonathan Honerbrink,2617.00,4805.00,7274.00,98654.00
Latrisha Vetaw,18526.00,31384.00,38971.00,66957.00
Londel French,12405.00,22497.00,31041.00,74887.00
Meg Forney,19010.00,31471.00,39292.00,66636.00
Mike Derus,10679.00,18788.00,24941.00,80987.00
Russ Henry,9056.00,16712.00,24208.00,81720.00
Scott Vreeland,3.00,4.00,8.00,105920.00
writeIns,390.00,560.00,833.00,105095.00
